Euler Angles for hand rotation relative to Arm):Mean values: X: -0,21, Y: -0,22, Z: 0,06
Euler Angles for arm pronation-supination rotation):Mean values: X: 94,39, Y: -25,46, Z: -159,87
Hand data:
Mean euler angle for the hand position:X=102,60°, Y=-51,95°, Z=97,93°
Roll (x-axis): 102,77°, Pitch (y-axis): -52,06°, Yaw (z-axis): 97,76°
Roll (x-axis): 102,75°, Pitch (y-axis): -52,04°, Yaw (z-axis): 97,79°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,74°, Pitch (y-axis): -52,03°, Yaw (z-axis): 97,83°
Roll (x-axis): 102,63°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,91°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,59°, Pitch (y-axis): -51,94°, Yaw (z-axis): 97,94°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,60°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,92°
Roll (x-axis): 102,61°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,93°
Roll (x-axis): 102,60°, Pitch (y-axis): -51,97°, Yaw (z-axis): 97,92°
Roll (x-axis): 102,59°, Pitch (y-axis): -51,96°, Yaw (z-axis): 97,92°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,90°, Yaw (z-axis): 97,98°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,55°, Pitch (y-axis): -51,89°, Yaw (z-axis): 97,96°
Roll (x-axis): 102,49°, Pitch (y-axis): -51,86°, Yaw (z-axis): 98,03°
Roll (x-axis): 102,50°, Pitch (y-axis): -51,87°, Yaw (z-axis): 98,01°
Roll (x-axis): 102,52°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,03°
Roll (x-axis): 102,52°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,03°
Roll (x-axis): 102,52°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,03°
Roll (x-axis): 102,52°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,03°
Roll (x-axis): 102,52°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,03°
Roll (x-axis): 102,52°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,03°
Roll (x-axis): 102,52°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,03°
Roll (x-axis): 102,51°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,02°
Roll (x-axis): 102,51°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,02°
Roll (x-axis): 102,51°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,02°
Roll (x-axis): 102,51°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,02°
Roll (x-axis): 102,51°, Pitch (y-axis): -51,88°, Yaw (z-axis): 98,02°

Arm data:
Mean euler angle for the arm position:X=94,19°, Y=22,12°, Z=155,95°
