Euler Angles for hand rotation relative to Arm):Mean values: X: -0,04, Y: -0,02, Z: -0,07
Euler Angles for arm pronation-supination rotation):Mean values: X: 96,65, Y: 16,82, Z: -140,94
Hand data:
Mean quaternion for the hand position:
W: 1,00, X: -0,00, Y: 0,00, Z: -0,00
Mean euler angle for the hand position:X=-0,00°, Y=0,00°, Z=-0,00°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
Roll (x-axis): 97,38°, Pitch (y-axis): -37,20°, Yaw (z-axis): 91,91°
