Hand data:
Mean angles for the hand position:
X: -96,91, Y: -3,23, Z: 51,71
Euler: X: -95,94 Y: 26,31 Z: 47,38
Euler: X: -98,62 Y: 23,62 Z: 50,38
Euler: X: -100,31 Y: 21,37 Z: 53,38
Euler: X: -104,94 Y: 14,38 Z: 58,56
Euler: X: -105,12 Y: 11,19 Z: 60,56
Euler: X: -104,62 Y: 11,50 Z: 60,88
Euler: X: -103,87 Y: 11,69 Z: 61,88
Euler: X: -103,31 Y: 11,75 Z: 62,88
Euler: X: -102,81 Y: 11,94 Z: 62,88
Euler: X: -103,50 Y: 11,69 Z: 62,00
Euler: X: -104,44 Y: 10,94 Z: 57,50
Euler: X: -106,69 Y: 8,56 Z: 52,06
Euler: X: -110,37 Y: 5,87 Z: 50,19
Euler: X: -116,81 Y: 0,19 Z: 50,94
Euler: X: -121,62 Y: -5,81 Z: 52,38
Euler: X: -121,00 Y: -3,56 Z: 49,13
Euler: X: -109,94 Y: 5,31 Z: 44,94
Euler: X: -105,31 Y: 10,44 Z: 44,06
Euler: X: -104,62 Y: 11,81 Z: 42,50
Euler: X: -105,25 Y: 9,44 Z: 43,50
Euler: X: -105,44 Y: 8,00 Z: 43,63
Euler: X: -105,62 Y: 7,37 Z: 43,00
Euler: X: -105,87 Y: 7,19 Z: 42,88
Euler: X: -106,00 Y: 6,37 Z: 42,13
Euler: X: -105,75 Y: 4,87 Z: 40,69
Euler: X: -105,56 Y: 6,19 Z: 42,38
Euler: X: -105,12 Y: 5,50 Z: 41,19
Euler: X: -103,87 Y: 6,12 Z: 41,13
Euler: X: -104,50 Y: 5,06 Z: 43,81
Euler: X: -104,50 Y: 4,12 Z: 45,75
Euler: X: -104,25 Y: 4,06 Z: 45,38
Euler: X: -104,62 Y: 3,69 Z: 44,88
Euler: X: -104,56 Y: 4,31 Z: 45,19
Euler: X: -103,75 Y: 4,56 Z: 43,06
Euler: X: -103,87 Y: 3,69 Z: 39,06
Euler: X: -104,12 Y: 3,50 Z: 38,88
Euler: X: -103,87 Y: 3,44 Z: 38,44
Euler: X: -103,50 Y: 3,37 Z: 38,13
Euler: X: -103,62 Y: 4,12 Z: 39,19
Euler: X: -104,37 Y: 1,62 Z: 36,38
Euler: X: -105,06 Y: 0,50 Z: 35,38
Euler: X: -105,50 Y: -0,69 Z: 33,88
Euler: X: -105,56 Y: -0,69 Z: 34,00
Euler: X: -105,75 Y: -0,81 Z: 33,94
Euler: X: -105,87 Y: -1,31 Z: 33,50
Euler: X: -105,69 Y: -1,44 Z: 33,44
Euler: X: -105,56 Y: -0,88 Z: 34,19
Euler: X: -106,06 Y: -2,56 Z: 32,00
Euler: X: -106,44 Y: -3,06 Z: 31,37
Euler: X: -106,31 Y: -2,81 Z: 31,81
Euler: X: -106,25 Y: -2,75 Z: 32,00
Euler: X: -106,25 Y: -2,62 Z: 32,25
Euler: X: -106,12 Y: -2,62 Z: 32,31
Euler: X: -106,19 Y: -2,75 Z: 32,19
Euler: X: -106,19 Y: -3,12 Z: 31,50
