Hand data:
Mean euler angle for the hand position:X=103,04°, Y=-52,28°, Z=97,56°
Roll (x-axis): 103,42°, Pitch (y-axis): -52,64°, Yaw (z-axis): 97,27°
Roll (x-axis): 103,25°, Pitch (y-axis): -52,58°, Yaw (z-axis): 97,46°
Roll (x-axis): 103,19°, Pitch (y-axis): -52,74°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,18°, Pitch (y-axis): -52,77°, Yaw (z-axis): 97,57°
Roll (x-axis): 103,17°, Pitch (y-axis): -52,78°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,16°, Pitch (y-axis): -52,82°, Yaw (z-axis): 97,59°
Roll (x-axis): 103,08°, Pitch (y-axis): -52,79°, Yaw (z-axis): 97,64°
Roll (x-axis): 103,10°, Pitch (y-axis): -52,78°, Yaw (z-axis): 97,66°
Roll (x-axis): 103,10°, Pitch (y-axis): -52,76°, Yaw (z-axis): 97,64°
Roll (x-axis): 103,03°, Pitch (y-axis): -52,73°, Yaw (z-axis): 97,71°
Roll (x-axis): 103,10°, Pitch (y-axis): -52,75°, Yaw (z-axis): 97,65°
Roll (x-axis): 103,13°, Pitch (y-axis): -52,64°, Yaw (z-axis): 97,58°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,34°, Yaw (z-axis): 97,55°
Roll (x-axis): 103,09°, Pitch (y-axis): -52,32°, Yaw (z-axis): 97,51°
Roll (x-axis): 103,09°, Pitch (y-axis): -52,32°, Yaw (z-axis): 97,51°
Roll (x-axis): 103,12°, Pitch (y-axis): -52,32°, Yaw (z-axis): 97,52°
Roll (x-axis): 103,11°, Pitch (y-axis): -52,32°, Yaw (z-axis): 97,51°
Roll (x-axis): 103,11°, Pitch (y-axis): -52,32°, Yaw (z-axis): 97,51°
Roll (x-axis): 103,08°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,52°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,07°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,50°
Roll (x-axis): 103,01°, Pitch (y-axis): -52,22°, Yaw (z-axis): 97,57°
Roll (x-axis): 103,04°, Pitch (y-axis): -52,22°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,04°, Pitch (y-axis): -52,22°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,04°, Pitch (y-axis): -52,22°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,04°, Pitch (y-axis): -52,22°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,04°, Pitch (y-axis): -52,22°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,04°, Pitch (y-axis): -52,22°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,04°, Pitch (y-axis): -52,22°, Yaw (z-axis): 97,56°
Roll (x-axis): 103,06°, Pitch (y-axis): -52,24°, Yaw (z-axis): 97,55°
Roll (x-axis): 103,06°, Pitch (y-axis): -52,24°, Yaw (z-axis): 97,55°
Roll (x-axis): 103,06°, Pitch (y-axis): -52,24°, Yaw (z-axis): 97,55°
Roll (x-axis): 103,06°, Pitch (y-axis): -52,24°, Yaw (z-axis): 97,55°
Roll (x-axis): 103,06°, Pitch (y-axis): -52,24°, Yaw (z-axis): 97,55°
Roll (x-axis): 103,06°, Pitch (y-axis): -52,24°, Yaw (z-axis): 97,55°
Roll (x-axis): 103,06°, Pitch (y-axis): -52,24°, Yaw (z-axis): 97,55°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 103,05°, Pitch (y-axis): -52,25°, Yaw (z-axis): 97,54°
Roll (x-axis): 102,97°, Pitch (y-axis): -52,19°, Yaw (z-axis): 97,62°
Roll (x-axis): 102,93°, Pitch (y-axis): -52,14°, Yaw (z-axis): 97,64°
Roll (x-axis): 102,93°, Pitch (y-axis): -52,14°, Yaw (z-axis): 97,64°
Roll (x-axis): 102,85°, Pitch (y-axis): -52,08°, Yaw (z-axis): 97,71°
Roll (x-axis): 102,85°, Pitch (y-axis): -52,08°, Yaw (z-axis): 97,71°
Roll (x-axis): 102,85°, Pitch (y-axis): -52,08°, Yaw (z-axis): 97,71°
Roll (x-axis): 102,85°, Pitch (y-axis): -52,08°, Yaw (z-axis): 97,71°
Roll (x-axis): 102,85°, Pitch (y-axis): -52,08°, Yaw (z-axis): 97,71°
Roll (x-axis): 102,85°, Pitch (y-axis): -52,08°, Yaw (z-axis): 97,71°
Roll (x-axis): 102,85°, Pitch (y-axis): -52,08°, Yaw (z-axis): 97,71°
Roll (x-axis): 102,85°, Pitch (y-axis): -52,08°, Yaw (z-axis): 97,71°
Roll (x-axis): 102,79°, Pitch (y-axis): -52,04°, Yaw (z-axis): 97,78°
Roll (x-axis): 102,79°, Pitch (y-axis): -52,05°, Yaw (z-axis): 97,78°
Roll (x-axis): 102,78°, Pitch (y-axis): -52,05°, Yaw (z-axis): 97,77°
Roll (x-axis): 102,78°, Pitch (y-axis): -52,05°, Yaw (z-axis): 97,77°
Roll (x-axis): 102,77°, Pitch (y-axis): -52,06°, Yaw (z-axis): 97,76°

Arm data:
