Hand data:
Mean euler angle for the hand position:X=-87,72°, Y=48,29°, Z=149,98°
Roll (x-axis): -87,56°, Pitch (y-axis): 49,01°, Yaw (z-axis): 150,00°
Roll (x-axis): -87,59°, Pitch (y-axis): 49,00°, Yaw (z-axis): 149,96°
Roll (x-axis): -87,60°, Pitch (y-axis): 48,96°, Yaw (z-axis): 149,94°
Roll (x-axis): -87,60°, Pitch (y-axis): 48,96°, Yaw (z-axis): 149,94°
Roll (x-axis): -87,60°, Pitch (y-axis): 48,95°, Yaw (z-axis): 149,92°
Roll (x-axis): -87,60°, Pitch (y-axis): 49,01°, Yaw (z-axis): 149,93°
Roll (x-axis): -87,62°, Pitch (y-axis): 49,00°, Yaw (z-axis): 149,92°
Roll (x-axis): -87,63°, Pitch (y-axis): 48,98°, Yaw (z-axis): 149,92°
Roll (x-axis): -87,61°, Pitch (y-axis): 48,96°, Yaw (z-axis): 149,91°
Roll (x-axis): -87,63°, Pitch (y-axis): 48,98°, Yaw (z-axis): 149,92°
Roll (x-axis): -87,60°, Pitch (y-axis): 49,04°, Yaw (z-axis): 149,94°
Roll (x-axis): -87,77°, Pitch (y-axis): 48,40°, Yaw (z-axis): 149,89°
Roll (x-axis): -87,77°, Pitch (y-axis): 48,43°, Yaw (z-axis): 149,91°
Roll (x-axis): -87,77°, Pitch (y-axis): 48,43°, Yaw (z-axis): 149,91°
Roll (x-axis): -87,77°, Pitch (y-axis): 48,43°, Yaw (z-axis): 149,91°
Roll (x-axis): -87,79°, Pitch (y-axis): 48,40°, Yaw (z-axis): 149,87°
Roll (x-axis): -87,78°, Pitch (y-axis): 48,33°, Yaw (z-axis): 149,88°
Roll (x-axis): -87,75°, Pitch (y-axis): 48,34°, Yaw (z-axis): 149,92°
Roll (x-axis): -87,81°, Pitch (y-axis): 48,19°, Yaw (z-axis): 149,86°
Roll (x-axis): -87,81°, Pitch (y-axis): 48,10°, Yaw (z-axis): 149,85°
Roll (x-axis): -87,83°, Pitch (y-axis): 48,04°, Yaw (z-axis): 149,83°
Roll (x-axis): -87,82°, Pitch (y-axis): 48,03°, Yaw (z-axis): 149,85°
Roll (x-axis): -87,86°, Pitch (y-axis): 47,95°, Yaw (z-axis): 149,80°
Roll (x-axis): -87,87°, Pitch (y-axis): 47,80°, Yaw (z-axis): 149,77°
Roll (x-axis): -87,85°, Pitch (y-axis): 47,82°, Yaw (z-axis): 149,81°
Roll (x-axis): -87,81°, Pitch (y-axis): 47,96°, Yaw (z-axis): 149,83°
Roll (x-axis): -87,80°, Pitch (y-axis): 48,13°, Yaw (z-axis): 149,87°
Roll (x-axis): -87,74°, Pitch (y-axis): 48,31°, Yaw (z-axis): 149,93°
Roll (x-axis): -87,78°, Pitch (y-axis): 48,39°, Yaw (z-axis): 149,93°
Roll (x-axis): -87,75°, Pitch (y-axis): 48,46°, Yaw (z-axis): 149,94°
Roll (x-axis): -87,78°, Pitch (y-axis): 48,48°, Yaw (z-axis): 149,92°
Roll (x-axis): -87,80°, Pitch (y-axis): 48,43°, Yaw (z-axis): 149,88°
Roll (x-axis): -87,77°, Pitch (y-axis): 48,43°, Yaw (z-axis): 149,90°
Roll (x-axis): -87,79°, Pitch (y-axis): 48,39°, Yaw (z-axis): 149,89°
Roll (x-axis): -87,77°, Pitch (y-axis): 48,41°, Yaw (z-axis): 149,90°
