timestamp roll_hand pitch_hand yaw_hand roll_arm pitch_arm yaw_arm
0,0000 -10,59 -24,70 113,31 -114,67 71,40 128,14
0,0000 -10,64 -24,64 113,43 -114,67 71,40 128,14
0,0000 -10,63 -24,63 113,42 -114,67 71,40 128,14
0,0000 -10,63 -24,63 113,42 -114,67 71,40 128,14
0,0000 -10,64 -24,59 113,48 -114,67 71,40 128,14
0,0000 -10,41 -24,44 113,16 -114,67 71,40 128,14
0,0000 -10,41 -24,44 113,16 -114,67 71,40 128,14
0,0000 -10,41 -24,44 113,16 -114,67 71,40 128,14
0,0000 -10,41 -24,44 113,16 -114,67 71,40 128,14
0,0000 -10,41 -24,44 113,16 -114,67 71,40 128,14
0,0000 -10,41 -24,44 113,16 -114,67 71,40 128,14
0,0000 -10,41 -24,44 113,16 -114,67 71,40 128,14
0,0000 -10,41 -24,44 113,16 -114,77 71,35 128,05
0,0000 -10,41 -24,44 113,16 -114,77 71,35 128,05
0,0000 -10,43 -24,27 113,39 -114,77 71,35 128,05
0,0000 -10,33 -24,17 113,27 -114,77 71,35 128,05
0,0000 -10,33 -24,17 113,27 -114,77 71,35 128,05
0,0000 -10,33 -24,17 113,27 -114,77 71,35 128,05
0,0000 -10,33 -24,17 113,27 -114,77 71,35 128,05
0,0000 -10,41 -24,17 113,34 -114,77 71,35 128,05
0,0000 -10,46 -24,15 113,41 -115,46 71,08 127,40
0,0000 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0000 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0000 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0010 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0020 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0030 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0030 -10,42 -24,07 113,41 -115,39 71,07 127,48
0,0030 -10,42 -24,06 113,43 -115,39 71,07 127,48
0,0030 -10,37 -23,94 113,40 -115,39 71,07 127,48
0,0030 -10,34 -23,83 113,41 -115,39 71,07 127,48
0,0030 -10,25 -23,69 113,22 -115,39 71,07 127,48
0,0030 -10,25 -23,69 113,22 -115,39 71,07 127,48
0,0030 -10,25 -23,69 113,22 -115,39 71,07 127,48
0,0030 -10,25 -23,69 113,22 -115,39 71,07 127,48
0,0030 -10,25 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,25 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,25 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0040 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0050 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0050 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0050 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0050 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0050 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0050 -10,26 -23,69 113,22 -115,39 71,07 127,48
0,0050 -10,27 -23,69 113,23 -115,39 71,07 127,48
0,0050 -10,20 -23,56 113,19 -115,39 71,07 127,48
