Euler Angles for hand rotation relative to Arm):Mean values: X: -0,29, Y: 0,24, Z: 3,02
Euler Angles for arm pronation-supination rotation):Mean values: X: -89,54, Y: 34,18, Z: 101,96
Hand data:
Mean euler angle for the hand position:X=29,60°, Y=8,31°, Z=98,02°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
Roll (x-axis): 29,17°, Pitch (y-axis): 7,93°, Yaw (z-axis): 94,98°
