Euler Angles for hand rotation relative to Arm):Mean values: X: NaN, Y: NaN, Z: NaN
Euler Angles for arm pronation-supination rotation):Mean values: X: 105,01, Y: 17,08, Z: -67,91
Hand data:
Mean euler angle for the hand position:X=0,00°, Y=0,00°, Z=0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
Roll (x-axis): 0,00°, Pitch (y-axis): 0,00°, Yaw (z-axis): 0,00°
