Hand data:
Mean euler angle for the hand position:X=40,96°, Y=-15,10°, Z=-88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
Roll (x-axis): 40,96°, Pitch (y-axis): -15,10°, Yaw (z-axis): -88,36°
