timestamp roll_hand pitch_hand yaw_hand roll_arm pitch_arm yaw_arm
0,0000 32,91 9,79 92,36 -87,78 78,33 147,93
0,0000 30,87 8,59 94,41 -87,82 78,33 147,91
0,0010 29,73 8,31 94,57 -87,83 78,36 147,96
0,0010 29,62 8,24 94,57 -87,83 78,31 147,87
0,0010 29,69 8,37 94,67 -87,83 78,31 147,87
0,0010 29,65 8,30 94,73 -87,83 78,31 147,87
0,0010 29,70 8,33 94,73 -87,83 78,31 147,87
0,0010 29,77 8,38 94,73 -87,83 78,31 147,87
0,0010 29,75 8,36 94,74 -87,83 78,31 147,87
0,0010 29,77 8,38 94,73 -87,89 78,31 147,80
0,0010 29,63 8,31 94,69 -87,83 78,31 147,87
0,0010 29,60 8,28 94,71 -87,83 78,34 147,93
0,0010 29,58 8,30 94,74 -87,83 78,34 147,93
0,0010 29,64 8,30 94,76 -87,83 78,34 147,93
0,0010 29,59 8,32 94,70 -87,83 78,34 147,93
0,0010 29,59 8,32 94,67 -87,83 78,34 147,93
0,0010 29,54 8,29 94,64 -87,83 78,34 147,93
0,0010 29,51 8,28 94,68 -87,83 78,34 147,93
0,0010 29,52 8,28 94,70 -87,83 78,31 147,87
0,0010 29,53 8,29 94,72 -87,83 78,31 147,87
0,0010 29,53 8,28 94,74 -87,83 78,31 147,87
0,0010 29,53 8,29 94,77 -87,83 78,31 147,87
0,0010 29,53 8,29 94,79 -87,83 78,31 147,87
0,0020 29,52 8,30 94,79 -87,83 78,31 147,87
0,0020 29,47 8,26 94,83 -87,83 78,31 147,87
0,0020 29,46 8,25 94,84 -87,83 78,31 147,87
0,0020 29,46 8,25 94,84 -87,83 78,31 147,87
0,0020 29,46 8,25 94,84 -87,83 78,31 147,87
0,0020 29,46 8,24 94,85 -87,83 78,31 147,87
0,0020 29,45 8,23 94,86 -87,83 78,31 147,87
0,0020 29,46 8,22 94,88 -87,83 78,31 147,87
0,0020 29,46 8,20 94,91 -87,83 78,31 147,87
0,0020 29,46 8,20 94,92 -87,83 78,31 147,87
