PadID,InitialProb,Displacement,PredictedProb,CorrectedProb
1,0.47542248,1.91692120,0.00003187,0.00010197
2,0.44583282,1.91692120,0.15151426,0.31138883
3,0.01151060,1.91692120,0.14208422,0.00656243
4,0.00000000,1.91692120,0.00366836,0.00003009
5,0.01587499,1.91692120,0.00505926,0.00051670
6,0.63435019,2.25000000,0.00003187,0.00010868
7,0.51135177,2.25000000,0.10108178,0.24508338
8,0.27935488,2.25000000,0.18256414,0.29473480
9,0.00000000,2.25000000,0.12599671,0.00303594
10,0.01022592,2.25000000,0.04777329,0.00177538
11,0.56918242,1.91692120,0.00003187,0.00010048
12,0.09795304,1.91692120,0.18139499,0.11478709
13,0.02960341,1.91692120,0.03121704,0.01334511
14,0.00821935,1.91692120,0.00943443,0.00182701
15,0.04862485,1.91692120,0.01811590,0.00660210

TopPad1,TopPad2,TopPad3
7,8,2
