PadID,InitialProb,Displacement,PredictedProb,CorrectedProb
1,0.03863538,-3.83384240,0.16041966,0.16188328
2,0.07212356,-3.83384240,0.19166032,0.02711552
3,0.03239480,-3.83384240,0.15799112,0.00470540
4,0.00891280,-3.83384240,0.08953027,0.00479272
5,0.00136258,-3.83384240,0.00207316,0.00008381
6,0.62147300,-4.50000000,0.15205010,0.63798674
7,0.47704014,-4.50000000,0.11671304,0.04096720
8,0.39148573,-4.50000000,0.09578123,0.10729020
9,0.12824038,-4.50000000,0.03137540,0.01477511
10,0.00933284,-4.50000000,0.00228338,0.00006953
11,0.61704645,-3.83384240,0.00002447,0.00014431
12,0.71124793,-3.83384240,0.00002447,0.00013118
13,0.61336086,-3.83384240,0.00002447,0.00005381
14,0.35702344,-3.83384240,0.00002447,0.00000047
15,0.00711105,-3.83384240,0.00002447,0.00000072

TopPad1,TopPad2,TopPad3
6,1,8
