PadID,InitialProb,Displacement,PredictedProb,CorrectedProb
1,0.14057055,3.83384240,0.00002494,0.00000616
2,0.29638858,3.83384240,0.00002494,0.00000938
3,0.39276484,3.83384240,0.00002494,0.00001349
4,0.25924376,3.83384240,0.00002494,0.00000949
5,0.56351197,3.83384240,0.00002494,0.00000823
6,0.18454015,4.50000000,0.04603070,0.02715244
7,0.19001738,4.50000000,0.04739691,0.04486924
8,0.32731015,4.50000000,0.08164247,0.10886289
9,0.50937922,4.50000000,0.12705679,0.16363057
10,0.52260236,4.50000000,0.13035510,0.18513026
11,0.01568494,3.83384240,0.03897552,0.01481054
12,0.00701313,3.83384240,0.07567888,0.00024775
13,0.05679109,3.83384240,0.11213480,0.03102219
14,0.38965354,3.83384240,0.16185743,0.19585489
15,0.15309552,3.83384240,0.17874669,0.22837249

TopPad1,TopPad2,TopPad3
9,14,10
