PadID,InitialProb,Displacement,PredictedProb,CorrectedProb
1,0.47542248,1.27794747,0.00003187,0.00007478
2,0.44583282,1.27794747,0.15151426,0.27045470
3,0.01151060,1.27794747,0.14208422,0.00609755
4,0.00000000,1.27794747,0.00366836,0.00001398
5,0.01587499,1.27794747,0.00505926,0.00038824
6,0.63435019,1.50000000,0.00003187,0.00008720
7,0.51135177,1.50000000,0.20216356,0.41779126
8,0.27935488,1.50000000,0.16296471,0.20539258
9,0.00000000,1.50000000,0.08902871,0.00099661
10,0.01022592,1.50000000,0.00325894,0.00011546
11,0.56918242,1.27794747,0.00003187,0.00008015
12,0.09795304,1.27794747,0.18139499,0.08519810
13,0.02960341,1.27794747,0.03121704,0.00770513
14,0.00821935,1.27794747,0.00943443,0.00096949
15,0.04862485,1.27794747,0.01811590,0.00463476

TopPad1,TopPad2,TopPad3
7,8,2
